,source,target,source_gptzero,source_detectgpt,target_gptzero,target_detectgpt
13,"After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction. This led to us waiting another 30 minutes for him to correct it. Don't visit this store if you want pleasant or good service.","The customer had to endure a long wait of almost 30 minutes to participate in the buyback program for their old phone. Unluckily, the customer service representative made a mistake while processing the transaction. This resulted in an additional wait time of 30 minutes until the mistake got rectified. It is advisable to avoid this store if you prioritize good and friendly services.",0,1,0,1
14,"This place was DELICIOUS!!  My parents saw a recommendation to visit this place from Rick Sebak's \""25 Things I Like About Pittsburgh\"" and he's usually pretty accurate.  His recommendations were to try the Reuben, Fish Sandwich and Open-Faced Steak Sandwich.  We went early afternoon for a late lunch today (a Saturday) and were seated right away.  The staff is extremely friendly.  My Mom & I each had the fish sandwich, while my Dad & Brother had a Reuben sandwich.  The fish was very good, but the Reuben was to die for!  Both dishes were massive, and could very easily be shared between two people.  On top of being extremely large portions, it was incredibly affordable.  The giant fish sandwich was $8 and the giant Reuben was $7.50.  Our drinks were always filled and we were checked on several times during the meal.  We will definitely be back!!!  Oh and a bit of advice ahead of time - they take CASH ONLY.  So come prepared, but I'm pretty sure I saw an ATM there as well.  And I do believe they are closed on Sundays & Mondays.","This restaurant was amazing! After reading a recommendation in Rick Sebak's ""25 Things I Like About Pittsburgh,"" my family and I decided to check it out. We arrived in the early afternoon for a late lunch and were seated right away thanks to the friendly staff. We tried the Reuben, Fish Sandwich, and Open-Faced Steak Sandwich as per the recommendation, and all were delicious. The Reuben was definitely the star of the show. The portions were very generous and could easily be shared between two people. The prices were incredibly affordable, with the giant fish sandwich costing only $8 and the giant Reuben costing $7.50. The service was great, and our drinks were never left empty. We will definitely be returning to this cash-only establishment (although I'm pretty sure there is an ATM on-site) that is closed on Sundays and Mondays.",0,1,0,1
15,Can't miss stop for the best Fish Sandwich in Pittsburgh.,You must visit this place to try the most amazing Fish Sandwich in Pittsburgh.,1,1,1,1
16,"This place should have a lot more reviews - but I'm glad it doesn't, they don't need to get any busier.\n\nIts been there ages, and looks it. If you're all about ambiance, don't bother. If you pretend you're in a movie set in Pittsburgh 30 years ago it works pretty well. The service is sometimes hit or miss. Most of girls are good, one is very slow, one is amazing. They are all friendly and usually a few different people will check in to make sure that you're happy. Everything is made fresh so be prepared that nothing comes flying out of that kitchen - busy times it can take a good while to get food. \n\nThe food is AWESOME! Worth any little complaints I might think up before it gets there. Once its on the table, I forget them all.\n\n-Fish Sandwiich\n-Salmon (huge and delicious)\n-Flounder\n-Shrimp a few ways (\""Norfolk\"" style is oily for my taste, and I never had it growing up in Norfolk.)\n-Hawkins St Special\n-Prime Rib (sized for two, watch it)\n\nThe prices are low, the portions are large, and just about everything on the menu  is delicious. I'm not one to pick a place because they give you a lot of food, but if you like a good value and don't want to compromise on taste, this place is a gem.","Although this place could use more reviews, I'm secretly happy it doesn't because the last thing it needs is to get any busier. The restaurant has definitely been around for a while and it shows. If you're someone who cares about the ambiance of a restaurant, then this might not be the place for you. However, if you enjoy pretending you're on a movie set in Pittsburgh from 30 years ago, then this place is definitely worth checking out. The service can be a hit or miss, but for the most part, the staff is friendly and accommodating. Everything is made fresh, so food can take a while to come out during busy times. But trust me, it's worth the wait! 

The food is AMAZING! I can't stress this enough. I forget about any little complaints I had once the food arrives at the table. Some of my favorites include the Fish Sandwich, the huge and delicious Salmon, the Flounder, and the different ways they prepare the Shrimp. Although the ""Norfolk"" style of shrimp wasn't for me, as I didn't grow up with it, it might be something other people love. They also have a ""Hawkins St Special"" and a Prime Rib that's perfectly sized for two people - just be careful not to order too much! The prices are more than affordable, the portions are generous, and the food is delicious! If you're someone who wants a good value without compromising on flavor, this place is a true gem.",0,1,0,1
17,"Old school.....traditional \""mom 'n pop\"" quality and perfection. The best fish and chips you'll ever enjoy and equally superb fried shrimp. A great out of the way, non-corporate, vestige of Americana. You will love it.","Classic and timeless, this mom and pop shop offers top-notch quality and perfection. Indulge in the finest fish and chips and delicious fried shrimp that you won't find anywhere else. This hidden gem isn't part of a big corporation, and it's a wonderful example of Americana. You'll definitely fall in love with it.",1,1,0,1
18,Good fish sandwich.,Delicious fish sandwich.,1,1,1,1
19,"After a morning of Thrift Store hunting, a friend and I were thinking of lunch, and he suggested Emil's after he'd seen Chris Sebak do a bit on it and had tried it a time or two before, and I had not. He said they had a decent Reuben, but to be prepared to step back in time.\n\nWell, seeing as how I'm kind of addicted to late 40's and early 50's, and the whole Rat Pack scene, stepping back in time is a welcomed change in da burgh...as long as it doesn't involve 1979, which I can see all around me every day.\n\nAnd yet another shot at finding a decent Reuben in da burgh...well, that's like hunting the Holy Grail. So looking under one more bush certainly wouldn't hurt.\n\nSo off we go right at lunchtime in the middle of...where exactly were we? At first I thought we were lost, driving around a handful of very rather dismal looking blocks in what looked like a neighborhood that had been blighted by the building of a highway. And then...AHA! Here it is! And yep, there it was. This little unassuming building with an add-on entrance with what looked like a very old hand painted sign stating quite simply 'Emil's. \n\nWe walked in the front door, and entered another world. Another time, and another place. Oh, and any Big Burrito/Sousa foodies might as well stop reading now. I wouldn't want to see you walk in, roll your eyes and say 'Reaaaaaalllly?'\n\nThis is about as old world bar/lounge/restaurant as it gets. Plain, with a dark wood bar on one side, plain white walls with no yinzer pics, good sturdy chairs and actual white linens on the tables. This is the kind of neighborhood dive that I could see Frank and Dino pulling a few tables together for some poker, a fish sammich, and some cheap scotch. And THAT is exactly what I love.\n\nOh...but good food counts too. \n\nWe each had a Reuben, and my friend had a side of fries. The Reubens were decent, but not NY awesome. A little too thick on the bread, but overall, tasty and definitely filling. Not too skimpy on the meat. I seriously CRAVE a true, good NY Reuben, but since I can't afford to travel right now, what I find in da burgh will have to do. But as we sat and ate, burgers came out to an adjoining table. Those were some big thick burgers. A steak went past for the table behind us. That was HUGE! And when we asked about it, the waitress said 'Yeah, it's huge and really good, and he only charges $12.99 for it, ain't that nuts?' Another table of five came in, and wham. Fish sandwiches PILED with breaded fish that looked amazing. Yeah, I want that, that, that and THAT!\n\nMy friend also mentioned that they have a Chicken Parm special one day of the week that is only served UNTIL 4 pm, and that it is fantastic. If only I could GET there on that week day before 4...\n\nThe waitress did a good job, especially since there was quite a growing crowd at lunchtime on a Saturday, and only one of her. She kept up and was very friendly. \n\nThey only have Pepsi products, so I had a brewed iced tea, which was very fresh, and she did pop by to ask about refills as often as she could. As the lunch hour went on, they were getting busy.\n\nEmil's is no frills, good portions, very reasonable prices, VERY comfortable neighborhood hole in the wall...kind of like Cheers, but in a blue collar neighborhood in the 1950's. Fan-freakin-tastic! I could feel at home here.\n\nYou definitely want to hit Mapquest or plug in your GPS though. I am not sure that I could find it again on my own...it really is a hidden gem. I will be making my friend take me back until I can memorize where the heck it is.\n\nAddendum: 2nd visit for the fish sandwich. Excellent. Truly. A pound of fish on a fish-shaped bun (as opposed to da burgh's seemingly popular hamburger bun). The fish was flavorful, the batter excellent, and for just $8. This may have been the best fish sandwich I've yet to have in da burgh.","After a morning of browsing through thrift stores, my friend suggested we try Emil's for lunch. He had eaten there before and recommended it as a time capsule to the late 40s and early 50s. Although I'm a fan of that era's Rat Pack scene, I was hesitant about the food, especially since I'm on a quest for the perfect Reuben sandwich in this city. Nevertheless, we found Emil's in a blighted-looking neighborhood, and the unassuming bar/lounge/restaurant looked like a place where Frank and Dino would enjoy a casual game of poker and a fish sandwich. We ordered the Reubens and, while they weren't the best we've had, they were decent and filling. But it was the homemade burgers, steaks, and fish sandwiches that caught our eyes and noses, and we vowed to come back for them. The service was great, and the waitress recommended the Chicken Parm special served only during weekdays before 4 pm. The only downside was that they only served Pepsi products, but the brewed iced tea was fresh and refillable. In short, Emil's is a no-frills, comfort-food diner with reasonable prices and a welcoming atmosphere, and a hidden gem that's worth the effort to find.",1,1,0,1
20,"A great townie bar with tasty food and an interesting clientele. I went to check this place out on the way home from the airport one Friday night and it didn't disappoint. It is refreshing to walk into a townie bar and not feel like the music stops and everyone in the place is staring at you - I'm guessing the mixed crowd of older hockey fans, young men in collared shirts, and thirtysomethings have probably seen it all during their time at this place. \n\nThe staff was top notch - the orders were somewhat overwhelming as they appeared short-staffed for the night, but my waitress tried to keep a positive attitude for my entire visit. The other waiter was wearing a hooded cardigan, and I wanted to steal it from him due to my difficulty in finding such a quality article of clothing.\n\nWe ordered a white pizza - large in size, engulfed in cheese, full of garlic flavor, flavorful hot sausage. An overall delicious pizza, aside from 2 things: 1, way too much grease (I know this comes with the territory, but still, it is sometimes unbearable); 2, CANNED MUSHROOMS - the worst thing to come out of a can. Ever. I would rather eat canned Alpo than canned mushrooms. And if the mushrooms weren't canned, they were just the worst mushrooms I've ever consumed. The mushroom debacle is enough to lower the review by an entire star - disgusting!\n\nMy advice for the place is keep everything awesome - random music from the jukebox, tasty food, great prices, good crowd and staff - and get some decent mushrooms; why they spoil an otherwise above average pie with such inferior crap, I'll never know.","I stumbled upon a charming townie bar with great food and a diverse group of patrons during my Friday night commute from the airport. The atmosphere was welcoming, as I didn't feel like I was being judged the second I walked in. I attribute this to the mixed crowd present; older hockey enthusiasts, young men dressed in collared shirts, and thirtysomethings. The staff was incredibly accommodating, despite the fact that they were short-staffed for the night. My waitress was a delight, and whilst the orders were somewhat overwhelming, she remained positive throughout my visit. I made note of a second waiter who had a fantastic hooded cardigan, which I was strongly tempted to steal. \n\nWe opted for the white pizza, which was generously covered in cheese, garlic flavor, and flavorful hot sausage, making it a delectable treat. However, there were two noticeable drawbacks to the pizza: firstly, the excessive grease, which can be a common issue, but it was almost unbearable. Secondly, the canned mushrooms. I cannot stress enough how terrible canned mushrooms can be. It was so unappetizing that it's enough to lower the rating of the establishment by an entire star. \n\nMy advice for the place is to maintain the excellent array of music from the jukebox, lower prices, welcoming crowd and staff, and above all, opt for better quality mushrooms in their otherwise above-average pie. Why they would spoil such a great pizza with terrible mushrooms is beyond comprehension.",0,1,0,1
21,"Good beer selection. Understaffed for a light Monday night crowd, it wasn't her fault she was the only server. But it took about an hour to get our sandwiches. Mine was one of the best reubens I've ever had.","The beer selection was impressive. Despite being the only server on a slow Monday evening, our waitress did her best. However, it did take longer than expected to receive our sandwiches - approximately an hour. Nonetheless, my reuben sandwich was one of the most delicious I've ever had.",1,1,0,1
22,Very disappointed in the customer service. We ordered Reuben's  and wanted coleslaw instead of kraut. They charged us $3.00 for the coleslaw. We will not be back . The iced tea is also terrible tasting.,"We had a negative experience with the customer service. Our order of Reuben's came with kraut but we requested coleslaw instead, which came with an additional charge of $3.00. As a result, we have decided not to return to this establishment. Additionally, the iced tea did not meet our expectations in terms of taste.",0,1,0,1
23,"Let there be no question: Alexions owns the best cheeseburger in the region and they have now for decades. Try a burger on Italian bread. The service is flawlessly friendly, the food is amazing, and the wings? Oh the wings... but it's still about the cheeseburger. The atmosphere is inviting, but you can't eat atmosphere... so go right now. Grab the car keys... you know you're hungry for an amazing cheeseburger, maybe some wings, and a cold beer! Easily, hands down, the best bar and grill in Pittsburgh.","There is no doubt about it - Alexions has been serving the finest cheeseburgers in the region for decades now. If you ever visit, make sure to try the burger served on Italian bread which is absolutely delicious. You'll be greeted with excellent service, and don't forget to try their legendary wings. While the atmosphere is lovely, what truly stands out is their incredible cheeseburgers. Don't wait any longer, hop in your car and head over to Alexions for an unbeatable meal of cheeseburgers, wings, and cold beer. This restaurant is without a doubt the best bar and grill in Pittsburgh.",1,1,0,1
24,"Used to go there for tires, brakes, etc.  Their prices have gone way up-$400 for 4 mid-level tires for a Toyota.  Plus, 1 of the new tires went flat within 3 weeks.  Since they don\""t make appointments,  the wait to get the tire looked at was ~2 hours.  Sorry--can't wait that long to get a warranted repair,  They lost my business for good.","I used to visit that place for purchasing tires, brakes, and other similar products. However, their prices have increased significantly. For instance, recently, I had to pay $400 for four mid-level tires for my Toyota car. What's worse, one of the new tires got punctured within a couple of weeks. Although I reached out to them, they didn't have any appointment slots available, and the wait time was approximately 2 hours. Unfortunately, I couldn't wait that long for a simple repair covered under warranty. Therefore, I have decided not to visit them again.",1,1,0,1
25,"Terrible. Preordered my tires and when I arrived they couldn't find the order anywhere. Once we got through that process I waited over 2 hours for them to be put on... I was originally told it would take 30 mins. Slow, over priced, I'll go elsewhere next time.","Awful. I had reserved my tires beforehand but upon arrival, they had no knowledge of my order. After sorting that out, it took more than 2 hours for the installation, despite being initially informed that it would only take 30 minutes. The service was very sluggish and expensive, so I'll look for other options in the future.",0,1,0,1
26,"Last summer I had an appointment to get new tires and had to wait a super long time. I also went in this week for them to fix a minor problem with a tire they put on. They \""fixed\"" it for free, and the very next morning I had the same issue. I called to complain, and the \""manager\"" didn't even apologize!!! So frustrated. Never going back.  They seem overpriced, too.","During my appointment last summer to get new tires, I experienced an incredibly long wait. This week, I had to return to the same place to address a minor issue with a tire they had put on. Although they fixed it for free, the issue resurfaced the very next day. When I called to voice my frustration, the manager didn't apologize, which only added to my aggravation. I don't think I will return as they also seem overpriced.",1,1,0,1
27,"I will start by saying we have a nice new deck. That is where the good part ends.\n\nWhy two stars if we have a nice deck now? Well, it all started in May when we had a man named Al come out and talk to us about the process. He was a true salesman, I'll tell you that. Not a straight shooter, but an excited salesman that wanted to sell... And we bought into it.\n\nHe told us they were backed up with the harsh winter and a lot of jobs, but they could probably start by June 24th. Mind you, this was the end of May we met with him. He said they would have to do a survey of our land and get a permit from Dormont before they started. We felt confident in going with them, and booked it.\n\nHere's where things fell apart. Weeks went by with no word from them on the process. Finally I called and left messages. Al finally got in touch with me and the conversation was utterly confusing. He must have not understood me because he just kept talking in circles. So I hung up not knowing what was going on. Finally I called back and the admin told me that the survey could take a couple weeks to come back. I wish Al would have told us that.\n\nSo our June 24th date came and went. We finally got our survey. And they were quick to bill us for it, but no word on where we were in the process. I called back a couple times with no real answers from the admin. Apparently they were now waiting for the permit from Dormont.\n\nA month later, I was frustrated and asked to speak with someone at the company. I spoke with someone who told me that Dormont usually takes a week to process the permit, but we were now going on a month. He told me he would bug the guy about it and we finally got it. \n\nI completely understand that waiting on the permit is not their fault, but why no communication about it? Just call me and tell me they're waiting for the permit, but they'll work towards asking Dormont what the hold up is. Seems simple.\n\nFinally we get the permit and work is supposed to start. Tuesday comes and they have to wait for approval from Dormont on holes they're digging. So holes are dug and equipment is put in my backyard and then nothing happens for two days. Where did everyone go? Who knows, because I wasn't informed! \n\nI was upset and contacted the company owner, Dave, by email. I told him how frustrated I was about the lack of communication. He wrote me two sentences that  said \""there will be acres there tomorrow morning to finish and most will be done tomorrow.\"" Well, that didn't happen.\n\nThen two other dudes show up two days later and did work for about three hours and left. The main guy comes back the next day and says they did it wrong. So apparently the part about how they wouldn't need access to my house changes to they're drilling bolts into my house to secure he deck. \n\nFinally, the second week into construction, my tiny 10x11 foot deck is done. It was upsetting that they left the deck dirty, and all the dirt and cement they moved around wasn't cleaned up. I even asked them to fill all the holes they dug up and didn't use, and they only filled up one. When you create a construction project, isn't it just good business to clean it up and make it look nice? Didn't happen here.\n\nMy main point is, contractors have a reputation for not being the most trustworthy. Why be that company? Why not be an upstanding company that consumers can trust? My main issues with them were that things were not communicated to me properly up front, nor was the ongoing process communicated to me. Then they left everything unfinished in my eyes, leaving the site dirty. I understand things happen and things get delayed, but just email or call me. It's not that hard to keep me updated, it is 2014 with a million ways to be contacted.\n\nEven though I have a nice deck (after I clean things up myself!), I would not recommend them to anyone.","Despite having a new deck, my experience with the company was quite disappointing. A salesman named Al promised us that the construction would start by June 24th, but we faced constant delays and poor communication throughout the process. Even though the delays were not entirely their fault, they could have kept me updated at every step. The workers left the deck dirty and unfinished, and failed to fill up all the holes they dug up. I believe that it's important to be an upstanding company that consumers can trust, and unfortunately, this company didn't live up to that expectation.",0,1,0,1
28,Hoofah.,Wowza.,1,0,1,1
29,I heart King's. I've always been a fan and this one was as good as my old one in Monaca.,"I adore King's. As a long-time enthusiast, this location was just as superb as the one I frequented in Monaca.",1,1,1,1
30,Average run of the mill store.  Associates are young teens and they really don't know where anything is.  Luckily I am able to get around to find everything.  Found my puppy treats and moved on.,"Typical store with inexperienced teenage associates who aren't very knowledgeable about the layout. Thankfully, I was able to navigate to what I needed and quickly grabbed my dog's favorite treats before leaving.",1,1,0,1
